"","Date","max","min","mean","sd"
"L2017-06-21",2017-06-21,0.858641922985376,0.155349145905426,0.594948945844858,0.180649329508582
"S2017-06-21",2017-06-21,0.858969443866308,0.174051927644155,0.595941623327468,0.179909202652611
"S2017-07-01",2017-07-01,0.937707151715296,0.000404910404626996,0.285740157558096,0.301943266679772
"S2017-07-08",2017-07-08,0.889138593522837,0.187615931126761,0.618234255241245,0.181569640929895
"S2017-07-09",2017-07-09,0.999034298077903,4.60139000091353e-05,0.289925313723081,0.277971058086224
"S2017-07-16",2017-07-16,0.700734105897855,0.236844552573812,0.513422855616594,0.110062824424522
"S2017-08-05",2017-08-05,0.124828213793652,0.000350794760157318,0.0313218138056894,0.021347042863614
"S2017-08-10",2017-08-10,0.981152324722629,0.10452019068404,0.620237499045927,0.191640503288008
"S2017-09-01",2017-09-01,0.864604972021183,0.150664181776903,0.620241223454974,0.166022599669806
"S2017-09-07",2017-09-07,0.867169558595384,0.174414555920402,0.639028602358691,0.168239917110049
"S2017-09-07.1",2017-09-07,0.888508558619689,0.0766550543753947,0.640526918108184,0.182608634969801
"S2018-06-03",2018-06-03,0.853181564363661,0.152336886861213,0.571444121793685,0.178671793853448
"S2018-06-03.1",2018-06-03,0.864232455348819,0.0989147380521452,0.566580463932265,0.191515829279642
"S2018-06-13",2018-06-13,0.870794296633375,0.136827920009203,0.575153144613438,0.18123591106564
"S2018-06-13.1",2018-06-13,0.883060634564043,0.0746268767365864,0.569230263405252,0.194622385383764
"S2018-06-14",2018-06-14,0.842304897061786,0.166778546288794,0.538272140509177,0.168031500339363
"S2018-06-18",2018-06-18,0.879511051380055,0.167492890578089,0.590814781665424,0.176958157654627
"S2018-06-18.1",2018-06-18,0.889256981447371,0.0904041626147478,0.586395452794412,0.189599097312905
"S2018-06-21",2018-06-21,0.892206889761168,0.118515607326722,0.601527979185642,0.18535774525686
"S2018-06-26",2018-06-26,0.894692024437483,0.125286766691798,0.596472412741347,0.191113202725459
"S2018-06-28",2018-06-28,0.890754790941487,0.167102476444052,0.603340360640014,0.181798243430526
